company,eventDate,layoffsCount,industry,geography,aiRelevance,status,sourceQuality,primary source URL
Walmart,2026-05-12,1000,Other,United States,ai_adjacent_restructuring,verified,reputable_reporting,https://www.wsj.com/business/retail/walmart-layoffs-relocates-technology-jobs-23bbf322
General Motors,2026-05-11,600,Other,United States,explicit_ai_cited,verified,reputable_reporting,https://techcrunch.com/2026/05/11/gm-just-laid-off-hundreds-of-it-workers-to-hire-those-with-stronger-ai-skills/
MRI Software,2026-05-11,200,Technology,United States,explicit_ai_cited,verified,reputable_reporting,https://propmodo.com/private-equity-backed-proptech-firm-cuts-200-jobs-cites-ai-adoption/
Cloudflare,2026-05-07,1100,Technology,Global,explicit_ai_cited,verified,reputable_reporting,https://www.reuters.com/business/world-at-work/cloudflare-cut-over-1100-jobs-2026-05-07/
Upwork,2026-05-07,145,Technology,Global,explicit_ai_cited,verified,primary,https://investors.upwork.com/static-files/0574d044-06d1-433c-918b-854f710ad10a
Arctic Wolf,2026-05-06,250,Technology,Global,explicit_ai_cited,verified,reputable_reporting,https://www.theregister.com/ai-and-ml/2026/05/06/arctic-wolf-cuts-250-jobs-in-ai-push/5231213
reAlpha,2026-05-06,,Technology,United States,explicit_ai_cited,verified,primary,https://markets.businessinsider.com/news/stocks/realpha-reduces-workforce-by-approximately-25-and-consolidates-vendor-spend-targeting-2-million-in-annualized-savings-as-ai-advancements-drive-organizational-efficiency-1036115751
Ticketmaster,2026-05-06,350,Technology,Global,ai_adjacent_restructuring,verified,reputable_reporting,https://news.pollstar.com/2026/05/06/ticketmaster-cuts-8-of-staff-350-employees-primarily-in-engineering-product-design/
Coinbase,2026-05-05,700,Finance,Global,explicit_ai_cited,verified,reputable_reporting,https://www.reuters.com/business/world-at-work/coinbase-cut-about-14-workforce-2026-05-05/
Freshworks,2026-05-05,500,Technology,Global,explicit_ai_cited,verified,reputable_reporting,https://www.reuters.com/business/freshworks-cut-11-jobs-ai-reshapes-software-sector-2026-05-05/
PayPal,2026-05-05,4760,Finance,Global,explicit_ai_cited,verified,reputable_reporting,https://www.wsj.com/business/earnings/paypal-to-cut-costs-after-profit-falls-dc42baf9
SuperOps,2026-04-24,60,Technology,India,explicit_ai_cited,verified,reputable_reporting,https://inc42.com/buzz/superops-lays-off-30-staff-in-ai-led-restructuring-push/
Meta,2026-04-23,8000,Technology,Global,ai_adjacent_restructuring,verified,reputable_reporting,https://www.cnbc.com/2026/04/23/meta-will-cut-10percent-of-workforce-as-it-pushes-more-into-ai.html
Nike,2026-04-23,1400,Other,Global,ai_adjacent_restructuring,verified,reputable_reporting,https://www.cnbc.com/2026/04/23/nike-job-cuts-layoffs.html
Epidemic Sound,2026-04-21,150,Media,Sweden,explicit_ai_cited,verified,reputable_reporting,https://www.marketscreener.com/news/eqt-backed-epidemic-sound-to-cut-150-jobs-in-ai-pivot-di-ce7f59dad18efe20
Snap,2026-04-15,1000,Technology,United States,explicit_ai_cited,verified,reputable_reporting,https://www.reuters.com/business/world-at-work/snap-lay-off-about-16-staff-2026-04-15/
Cars.com,2026-04-09,,Technology,United States,ai_adjacent_restructuring,verified,reputable_reporting,https://www.marketwatch.com/story/cars-com-to-lay-off-11-of-full-time-workforce-amid-ai-push-update-bb0c9f35
Meta,2026-03-25,700,Technology,United States,ai_adjacent_restructuring,verified,reputable_reporting,https://www.nytimes.com/2026/03/25/technology/meta-layoffs-ai-executives.html
Snowflake,2026-03-20,,Technology,United States,ai_adjacent_restructuring,verified,reputable_reporting,https://www.businessinsider.com/snowflake-layoffs-strategy-ai-growth-2026-3
